timestamp,gender,age,enrolled_college,region,work_hours_week,personal_income,household_income,Are you or your family eligible for SNAP benefits or any governmental assistance program?,education_level,gpa_range,physical_activity_freq,dietary_style,food_thoughts_daily,fies_q1,fies_q2,fies_q3,fies_q4,fies_q5,fies_q6,fies_q7,fies_q8,rs_q1,rs_q2,rs_q3,rs_q4,rs_q5,rs_q6,smm_q1,smm_q2,smm_q3,smm_q4,smm_q5,smm_q6,smm_q7,smm_q8,pss_q1,pss_q2,pss_q3,pss_q4,pss_q5,pss_q6,pss_q7,pss_q8,pss_q9,pss_q10,k10_q1,k10_q2,k10_q3,k10_q4,k10_q5,k10_q6,exercise_days_week,breakfast_freq,whole_grains_freq,dairy_freq,caffeine_freq,fruits_freq,nuts_freq,rice_pasta_freq,meat_freq,leafy_veg_freq,beans_freq,fish_freq,fast_food_freq,multivitamin_freq,fish_oil_freq,fies_score,fies_level,resilience_score,RS_level,smm_score,smm_level,k10_score,k10_level
2022-09-05 13:33:54.552,Male,18-22,Yes,North America/Central America,Not applicable,0,"$90,000 to $99,999",Not sure,High School,3.7-4.0,3 times,I don’t follow a specific diet,4-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,4.0,3.0,5.0,2.0,3.0,1.0,3.0,1.0,0.0,3.0,2.0,Sometimes,Sometimes,Fairly often,Sometimes,Fairly Often,Almost never,Very often,Sometimes,Fairly Often,Sometimes,3.0,2.0,3.0,2.776141384388807,2.0,2.0,3 times,5 times,Never,3 times,5 times or more,3 times,Never,3 times,5 times or more,5 times or more,Never,2.0,2.0,0.0,0.0,0.0,High food security,22.0,High resilience,15.0,Likely to have a moderate effect,14.776141384388808,Moderate psychological distress
2022-09-05 14:24:32.823,Female,50 and older,No,North America/Central America,Not applicable,"$100,000 or greater","$100,000 to $149,999",No,"2 or 4 Years of College Degree (AA, BA, BS)",Not applicable,4 times,I don’t follow a specific diet,12+,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0,1.0,3.0,1.0,1.0,2.0,1.0,Sometimes,Sometimes,Sometimes,Fairly Often,Sometimes,Almost never,Fairly Often,Sometimes,Almost never,Almost never,2.0,2.0,2.0,2.776141384388807,3.0,2.8990066225165565,4 times,6 or 7 times,3 times,1 time,5 times or more,3 times,3 times,5 times or more,3 times,4 times,4 times,2.0,1.0,0.0,0.0,0.0,High food security,25.0,High resilience,14.0,Likely to have a moderate effect,14.675148006905363,Moderate psychological distress
2022-09-05 14:57:44.437,Male,50 and older,No,North America/Central America,More than 40 hours,"$100,000 or greater","$250,000 or more",No,"2 or 4 Years of College Degree (AA, BA, BS)",3.0-3.39,,I don’t follow a specific diet,0-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,1.0,0.0,2.0,3.0,1.0,0.0,Almost never,Sometimes,Almost never,Fairly Often,Sometimes,Fairly often,Sometimes,Fairly Often,Almost never,Almost never,2.0,2.864229765013055,3.2310838445807772,2.776141384388807,3.0,2.8990066225165565,4 times,6 or 7 times,1 time,5 times or more,5 times or more,3 times,1 time,3 times,5 times or more,3 times,1 time,1.0,1.0,0.0,0.0,0.0,High food security,30.0,High resilience,11.0,Likely to have a moderate effect,16.770461616499194,Moderate psychological distress
2022-09-05 18:26:04.941,Female,22-29,No,North America/Central America,11-20 hours,"$1 to $4,999","$30,000 to $39,999",No,"2 or 4 Years of College Degree (AA, BA, BS)",3.7-4.0,3 times,I don’t follow a specific diet,4-7,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,Fairly often,Sometimes,Fairly often,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,Fairly Often,Sometimes,4.0,3.0,3.0,2.0,3.0,2.0,3 times,2 times,Never,3 times,2 times,3 times,1 time,5 times or more,4 times,4 times,1 time,4.0,4.0,0.0,0.0,4.0,Low food security,14.0,Normal resilience,15.0,Likely to have a moderate effect,17.0,Moderate psychological distress
2022-09-07 21:04:54.095,Female,50 and older,No,North America/Central America,21 to 30 hours,"30,000 to 49,999","$250,000 or more",No,"2 or 4 Years of College Degree (AA, BA, BS)",3.0-3.39,5 times,I don’t follow a specific diet,8-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,1.0,2.0,3.0,1.0,3.0,2.0,Almost never,Almost never,Sometimes,Fairly Often,Sometimes,Almost never,Almost never,Almost never,Almost never,Almost never,2.0,2.864229765013055,2.0,2.776141384388807,2.0,2.8990066225165565,5 times,6 or 7 times,2 times,3 times,2 times,4 times,5 times or more,3 times,4 times,3 times,3 times,1.0,0.0,0.0,0.0,0.0,High food security,24.0,High resilience,16.0,Likely to have a moderate effect,14.539377771918417,Moderate psychological distress
2022-09-07 22:08:01.142,Female,50 and older,No,North America/Central America,More than 40 hours,Prefer not to answer,"$100,000 to $149,999",No,"2 or 4 Years of College Degree (AA, BA, BS)",3.4-3.69,6-7 times,I don’t follow a specific diet,8-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,4.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Sometimes,Sometimes,Sometimes,Very often,Fairly Often,Sometimes,Sometimes,Sometimes,Sometimes,Almost never,2.0,2.864229765013055,3.2310838445807772,2.776141384388807,4.0,2.8990066225165565,6-7 times,Never,Never,5 times or more,5 times or more,5 times or more,5 times or more,4 times,5 times or more,5 times or more,1 time,1.0,1.0,4.0,0.0,0.0,High food security,20.0,Normal resilience,9.0,Likely to have a debilitating effect,17.770461616499194,Out of range
2022-09-07 22:17:19.986,Male,18-22,Yes,North America/Central America,21 to 30 hours,"$1 to $4,999","$250,000 or more",No,High School,3.7-4.0,6-7 times,I don’t follow a specific diet,0-3,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,Fairly often,Fairly often,Sometimes,Fairly Often,Never,Sometimes,Sometimes,Sometimes,Fairly Often,Sometimes,3.0,4.0,2.0,2.0,3.0,3.0,6-7 times,3 times,2 times,4 times,5 times or more,2 times,Never,5 times or more,5 times or more,5 times or more,Never,0.0,2.0,0.0,1.0,0.0,High food security,15.0,Normal resilience,9.0,Likely to have a debilitating effect,17.0,Moderate psychological distress
2022-09-07 22:22:20.138,Male,18-22,Yes,North America/Central America,11-20 hours,0,"$60,000 to $69,999",Not sure,High School,3.4-3.69,5 times,I don’t follow a specific diet,4-7,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5.0,4.0,5.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,2.0,4.0,3.0,Never,Sometimes,Almost never,Very often,Fairly Often,Almost never,Fairly Often,Fairly Often,Sometimes,Almost never,2.0,2.864229765013055,2.0,2.776141384388807,2.0,2.8990066225165565,5 times,3 times,2 times,3 times,3 times,3 times,3 times,5 times or more,4 times,3 times,1 time,0.0,3.0,0.0,0.0,4.0,Low food security,24.0,High resilience,22.0,Likely to have an enhancing effect,14.539377771918417,Moderate psychological distress
2022-09-07 23:08:28.282,Female,40-49,No,North America/Central America,Less than 10 hours,"30,000 to 49,999","$250,000 or more",No,"2 or 4 Years of College Degree (AA, BA, BS)",3.7-4.0,6-7 times,I don’t follow a specific diet,4-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,Sometimes,Sometimes,Sometimes,Fairly Often,Fairly Often,Almost never,Sometimes,Sometimes,Sometimes,Almost never,3.2295719844357977,2.0,3.2310838445807772,2.0,3.1576200417536535,2.8990066225165565,6-7 times,1 time,4 times,3 times,5 times or more,5 times or more,3 times,5 times or more,5 times or more,5 times or more,3 times,3.0,2.0,0.0,0.0,0.0,High food security,24.0,High resilience,10.0,Likely to have a debilitating effect,16.517282493286785,Moderate psychological distress
2022-09-08 06:47:34.880,Female,50 and older,No,North America/Central America,More than 40 hours,"$100,000 or greater","$250,000 or more",No,"2 or 4 Years of College Degree (AA, BA, BS)",Not applicable,4 times,I don’t follow a specific diet,4-7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Sometimes,Almost never,Sometimes,Fairly Often,Fairly Often,Almost never,Fairly Often,Fairly Often,Almost never,Almost never,2.0,2.864229765013055,2.0,2.776141384388807,3.1576200417536535,2.8990066225165565,4 times,6 or 7 times,1 time,1 time,5 times or more,5 times or more,5 times or more,1 time,4 times,5 times or more,1 time,4.0,2.0,0.0,0.0,0.0,High food security,26.0,High resilience,25.0,Likely to have an enhancing effect,15.69699781367207,Moderate psychological distress
